Classifier,Dataset,Fit-Time,Predict-Time
Hydra,ACSF1,5.65,5.46
Hydra,Adiac,1.5,1.2
Hydra,ArrowHead,0.21,1.08
Hydra,Beef,0.51,0.39
Hydra,BeetleFly,0.36,0.31
Hydra,BirdChicken,0.4,0.31
Hydra,BME,0.14,0.36
Hydra,Car,1.24,1.15
Hydra,CBF,0.09,2.2
Hydra,Chinatown,0.05,0.09
Hydra,ChlorineConcentration,2.45,17.39
Hydra,CinCECGTorso,2.61,85.95
Hydra,Coffee,0.29,0.23
Hydra,Computers,5.5,5.73
Hydra,CricketX,3.58,3.48
Hydra,CricketY,3.78,3.55
Hydra,CricketZ,3.77,3.58
Hydra,Crop,89.04,11.69
Hydra,DiatomSizeReduction,0.23,3.06
Hydra,DistalPhalanxOutlineAgeGroup,0.82,0.19
Hydra,DistalPhalanxOutlineCorrect,1.27,0.38
Hydra,DistalPhalanxTW,0.85,0.26
Hydra,Earthquakes,5.05,2.07
Hydra,ECG200,0.25,0.18
Hydra,ECG5000,2.09,16.43
Hydra,ECGFiveDays,0.11,2.76
Hydra,ElectricDevices,181.28,13.19
Hydra,EOGHorizontalSignal,18.11,17.66
Hydra,EOGVerticalSignal,18.44,18.12
Hydra,EthanolLevel,35.72,32.68
Hydra,FaceAll,2.55,6.2
Hydra,FaceFour,0.33,0.97
Hydra,FacesUCR,0.84,7.39
Hydra,FiftyWords,3.39,3.39
Hydra,Fish,2.32,2.19
Hydra,FordA,75.09,17.69
Hydra,FordB,87.7,12.51
Hydra,FreezerRegularTrain,1.42,25.13
Hydra,FreezerSmallTrain,0.29,25.26
Hydra,GunPoint,0.21,0.53
Hydra,GunPointAgeSpan,0.52,1.1
Hydra,GunPointMaleVersusFemale,0.6,1.18
Hydra,GunPointOldVersusYoung,0.5,1.07
Hydra,Ham,1.61,1.51
Hydra,HandOutlines,93.05,36.26
Hydra,Haptics,5.77,11.12
Hydra,Herring,0.93,0.93
Hydra,HouseTwenty,3.25,8.85
Hydra,InlineSkate,6.5,31.78
Hydra,InsectEPGRegularTrain,1.35,5.36
Hydra,InsectEPGSmallTrain,0.34,5.07
Hydra,InsectWingbeatSound,1.39,11.09
Hydra,ItalyPowerDemand,0.03,0.24
Hydra,LargeKitchenAppliances,7.86,7.41
Hydra,Lightning2,1.32,1.33
Hydra,Lightning7,0.64,0.63
Hydra,Mallat,1.67,65.28
Hydra,Meat,0.73,0.71
Hydra,MedicalImages,0.89,1.41
Hydra,MiddlePhalanxOutlineAgeGroup,0.58,0.21
Hydra,MiddlePhalanxOutlineCorrect,1.28,0.38
Hydra,MiddlePhalanxTW,0.68,0.2
Hydra,MixedShapesRegularTrain,17.34,73.77
Hydra,MixedShapesSmallTrain,2.98,68.59
Hydra,MoteStrain,0.05,2.03
Hydra,NonInvasiveFetalECGThorax1,46.59,46.41
Hydra,NonInvasiveFetalECGThorax2,45.95,45.96
Hydra,OliveOil,0.69,0.67
Hydra,OSULeaf,2.74,3.12
Hydra,PhalangesOutlinesCorrect,6.47,1.2
Hydra,Phoneme,7.52,59.66
Hydra,PickupGestureWiimoteZ,0.56,0.53
Hydra,PigAirwayPressure,7.22,14.88
Hydra,PigArtPressure,7.86,13.96
Hydra,PigCVP,6.91,12.78
Hydra,Plane,0.38,0.35
Hydra,PowerCons,0.61,0.59
Hydra,ProximalPhalanxOutlineAgeGroup,0.79,0.26
Hydra,ProximalPhalanxOutlineCorrect,1.14,0.37
Hydra,ProximalPhalanxTW,0.76,0.3
Hydra,RefrigerationDevices,8.75,8.5
Hydra,Rock,2.13,5.5
Hydra,ScreenType,7.69,7.27
Hydra,SemgHandGenderCh2,17.54,29.66
Hydra,SemgHandMovementCh2,28.52,26.45
Hydra,SemgHandSubjectCh2,24.85,21.53
Hydra,ShakeGestureWiimoteZ,0.57,0.52
Hydra,ShapeletSim,0.29,2.68
Hydra,ShapesAll,9.04,7.65
Hydra,SmallKitchenAppliances,7.68,7.35
Hydra,SmoothSubspace,0.04,0.01
Hydra,SonyAIBORobotSurface1,0.04,0.69
Hydra,SonyAIBORobotSurface2,0.05,1.22
Hydra,StarLightCurves,27.47,188.28
Hydra,Strawberry,3.37,1.92
Hydra,SwedishLeaf,1.1,1.4
Hydra,Symbols,0.21,10.4
Hydra,SyntheticControl,0.41,0.27
Hydra,ToeSegmentation1,0.25,1.51
Hydra,ToeSegmentation2,0.36,1.26
Hydra,Trace,0.75,0.7
Hydra,TwoLeadECG,0.09,1.75
Hydra,TwoPatterns,3.45,9.41
Hydra,UMD,0.15,0.52
Hydra,UWaveGestureLibraryAll,26.18,94.33
Hydra,UWaveGestureLibraryX,7.98,29.72
Hydra,UWaveGestureLibraryY,9.09,25.75
Hydra,UWaveGestureLibraryZ,8.58,30.62
Hydra,Wafer,4.76,22.04
Hydra,Wine,0.32,0.27
Hydra,WordSynonyms,2.05,4.36
Hydra,Worms,5.19,2.39
Hydra,WormsTwoClass,5.57,2.22
Hydra,Yoga,2.98,26.16
R_DST,ACSF1,45.6,33.48
R_DST,Adiac,18.71,15.91
R_DST,ArrowHead,3.3,10.57
R_DST,Beef,5.61,2.83
R_DST,BeetleFly,3.62,2.12
R_DST,BirdChicken,4.32,2.86
R_DST,BME,1.53,3.75
R_DST,Car,9.16,9.78
R_DST,CBF,1.7,26.66
R_DST,Chinatown,0.3,1.33
R_DST,ChlorineConcentration,18.0,111.16
R_DST,CinCECGTorso,19.44,451.41
R_DST,Coffee,2.89,1.73
R_DST,Computers,45.37,33.48
R_DST,CricketX,23.75,20.31
R_DST,CricketY,23.29,23.41
R_DST,CricketZ,32.33,21.7
R_DST,Crop,347.51,120.5
R_DST,DiatomSizeReduction,3.11,23.26
R_DST,DistalPhalanxOutlineAgeGroup,6.93,1.87
R_DST,DistalPhalanxOutlineCorrect,12.35,4.2
R_DST,DistalPhalanxTW,9.63,2.92
R_DST,Earthquakes,36.28,12.77
R_DST,ECG200,3.21,2.21
R_DST,ECG5000,13.35,111.92
R_DST,ECGFiveDays,0.95,26.22
R_DST,ElectricDevices,608.49,102.08
R_DST,EOGHorizontalSignal,96.01,81.35
R_DST,EOGVerticalSignal,107.67,87.96
R_DST,EthanolLevel,204.46,165.58
R_DST,FaceAll,13.69,34.0
R_DST,FaceFour,2.11,4.78
R_DST,FacesUCR,5.48,41.82
R_DST,FiftyWords,20.5,19.5
R_DST,Fish,15.04,13.26
R_DST,FordA,342.33,104.69
R_DST,FordB,357.78,64.41
R_DST,FreezerRegularTrain,8.29,129.92
R_DST,FreezerSmallTrain,2.19,136.89
R_DST,GunPoint,1.56,3.27
R_DST,GunPointAgeSpan,4.03,7.16
R_DST,GunPointMaleVersusFemale,3.53,6.96
R_DST,GunPointOldVersusYoung,5.02,12.69
R_DST,Ham,8.07,6.82
R_DST,HandOutlines,606.22,217.32
R_DST,Haptics,38.32,64.82
R_DST,Herring,6.54,5.52
R_DST,HouseTwenty,32.47,60.71
R_DST,InlineSkate,44.05,219.78
R_DST,InsectEPGRegularTrain,7.65,31.07
R_DST,InsectEPGSmallTrain,3.02,26.66
R_DST,InsectWingbeatSound,9.52,78.52
R_DST,ItalyPowerDemand,0.5,3.74
R_DST,LargeKitchenAppliances,51.2,47.96
R_DST,Lightning2,11.03,11.13
R_DST,Lightning7,4.19,3.55
R_DST,Mallat,11.93,415.2
R_DST,Meat,5.08,4.01
R_DST,MedicalImages,8.74,14.92
R_DST,MiddlePhalanxOutlineAgeGroup,5.62,2.02
R_DST,MiddlePhalanxOutlineCorrect,8.81,3.22
R_DST,MiddlePhalanxTW,8.22,1.89
R_DST,MixedShapesRegularTrain,92.89,417.96
R_DST,MixedShapesSmallTrain,22.04,428.25
R_DST,MoteStrain,0.55,15.09
R_DST,NonInvasiveFetalECGThorax1,243.58,238.71
R_DST,NonInvasiveFetalECGThorax2,234.47,241.95
R_DST,OliveOil,6.68,4.33
R_DST,OSULeaf,14.42,15.83
R_DST,PhalangesOutlinesCorrect,34.38,10.27
R_DST,Phoneme,46.12,327.36
R_DST,PickupGestureWiimoteZ,3.5,3.11
R_DST,PigAirwayPressure,47.43,81.16
R_DST,PigArtPressure,55.65,103.05
R_DST,PigCVP,47.56,89.71
R_DST,Plane,2.93,2.22
R_DST,PowerCons,5.31,3.87
R_DST,ProximalPhalanxOutlineAgeGroup,5.43,2.27
R_DST,ProximalPhalanxOutlineCorrect,8.19,3.19
R_DST,ProximalPhalanxTW,5.86,2.4
R_DST,RefrigerationDevices,45.69,43.8
R_DST,Rock,17.6,29.42
R_DST,ScreenType,45.9,42.47
R_DST,SemgHandGenderCh2,83.32,159.06
R_DST,SemgHandMovementCh2,124.9,121.38
R_DST,SemgHandSubjectCh2,127.36,124.0
R_DST,ShakeGestureWiimoteZ,3.89,3.01
R_DST,ShapeletSim,2.6,14.22
R_DST,ShapesAll,49.41,48.26
R_DST,SmallKitchenAppliances,46.22,44.05
R_DST,SmoothSubspace,0.53,0.26
R_DST,SonyAIBORobotSurface1,0.36,5.77
R_DST,SonyAIBORobotSurface2,0.42,8.26
R_DST,StarLightCurves,192.0,1302.21
R_DST,Strawberry,22.5,12.27
R_DST,SwedishLeaf,10.35,11.15
R_DST,Symbols,2.5,58.03
R_DST,SyntheticControl,5.52,3.76
R_DST,ToeSegmentation1,2.35,9.18
R_DST,ToeSegmentation2,2.49,6.57
R_DST,Trace,4.66,4.15
R_DST,TwoLeadECG,0.47,13.23
R_DST,TwoPatterns,21.8,73.07
R_DST,UMD,1.13,3.08
R_DST,UWaveGestureLibraryAll,146.21,530.28
R_DST,UWaveGestureLibraryX,45.54,163.6
R_DST,UWaveGestureLibraryY,54.27,162.81
R_DST,UWaveGestureLibraryZ,45.48,162.7
R_DST,Wafer,24.64,128.23
R_DST,Wine,2.46,1.81
R_DST,WordSynonyms,12.24,25.0
R_DST,Worms,29.37,11.05
R_DST,WormsTwoClass,29.3,11.16
R_DST,Yoga,20.37,187.31
Rocket,ACSF1,63.68,55.52
Rocket,Adiac,22.1,20.87
Rocket,ArrowHead,3.34,20.77
Rocket,Beef,4.37,6.38
Rocket,BeetleFly,4.98,4.93
Rocket,BirdChicken,3.93,3.59
Rocket,BME,1.47,6.53
Rocket,Car,15.9,12.29
Rocket,CBF,1.76,35.89
Rocket,Chinatown,0.54,2.98
Rocket,ChlorineConcentration,27.86,191.15
Rocket,CinCECGTorso,24.77,837.46
Rocket,Coffee,4.14,3.63
Rocket,Computers,57.49,60.95
Rocket,CricketX,41.87,41.73
Rocket,CricketY,43.54,37.64
Rocket,CricketZ,41.62,36.09
Rocket,Crop,359.56,191.68
Rocket,DiatomSizeReduction,2.38,35.64
Rocket,DistalPhalanxOutlineAgeGroup,15.91,3.92
Rocket,DistalPhalanxOutlineCorrect,15.62,6.37
Rocket,DistalPhalanxTW,13.86,3.61
Rocket,Earthquakes,51.26,19.81
Rocket,ECG200,3.96,3.26
Rocket,ECG5000,23.76,172.36
Rocket,ECGFiveDays,1.18,35.2
Rocket,ElectricDevices,652.59,191.25
Rocket,EOGHorizontalSignal,130.49,121.42
Rocket,EOGVerticalSignal,152.47,143.24
Rocket,EthanolLevel,269.13,253.71
Rocket,FaceAll,22.39,60.5
Rocket,FaceFour,2.72,8.95
Rocket,FacesUCR,7.7,74.03
Rocket,FiftyWords,32.84,33.77
Rocket,Fish,21.55,21.46
Rocket,FordA,533.78,173.18
Rocket,FordB,565.76,103.67
Rocket,FreezerRegularTrain,12.45,239.2
Rocket,FreezerSmallTrain,2.41,239.67
Rocket,GunPoint,2.13,6.45
Rocket,GunPointAgeSpan,5.76,14.48
Rocket,GunPointMaleVersusFemale,5.53,12.2
Rocket,GunPointOldVersusYoung,5.55,11.84
Rocket,Ham,15.03,13.59
Rocket,HandOutlines,830.25,256.98
Rocket,Haptics,50.94,95.66
Rocket,Herring,9.08,8.85
Rocket,HouseTwenty,22.78,68.75
Rocket,InlineSkate,53.62,286.71
Rocket,InsectEPGRegularTrain,10.85,42.16
Rocket,InsectEPGSmallTrain,3.12,39.06
Rocket,InsectWingbeatSound,14.97,127.62
Rocket,ItalyPowerDemand,0.72,7.81
Rocket,LargeKitchenAppliances,74.26,75.69
Rocket,Lightning2,10.55,10.52
Rocket,Lightning7,6.71,6.65
Rocket,Mallat,15.1,645.37
Rocket,Meat,11.96,7.67
Rocket,MedicalImages,14.94,19.98
Rocket,MiddlePhalanxOutlineAgeGroup,8.91,3.24
Rocket,MiddlePhalanxOutlineCorrect,15.89,10.5
Rocket,MiddlePhalanxTW,8.81,3.19
Rocket,MixedShapesRegularTrain,136.18,637.03
Rocket,MixedShapesSmallTrain,29.04,633.13
Rocket,MoteStrain,1.17,31.25
Rocket,NonInvasiveFetalECGThorax1,370.32,375.01
Rocket,NonInvasiveFetalECGThorax2,414.5,404.09
Rocket,OliveOil,6.38,5.48
Rocket,OSULeaf,22.33,27.5
Rocket,PhalangesOutlinesCorrect,47.86,18.21
Rocket,Phoneme,62.73,597.7
Rocket,PickupGestureWiimoteZ,5.12,5.74
Rocket,PigAirwayPressure,59.22,109.3
Rocket,PigArtPressure,59.33,110.2
Rocket,PigCVP,59.29,110.09
Rocket,Plane,4.01,5.58
Rocket,PowerCons,10.05,6.8
Rocket,ProximalPhalanxOutlineAgeGroup,8.83,4.4
Rocket,ProximalPhalanxOutlineCorrect,13.23,5.88
Rocket,ProximalPhalanxTW,10.71,4.2
Rocket,RefrigerationDevices,72.95,73.3
Rocket,Rock,14.93,44.91
Rocket,ScreenType,67.88,68.54
Rocket,SemgHandGenderCh2,118.38,239.98
Rocket,SemgHandMovementCh2,183.66,188.62
Rocket,SemgHandSubjectCh2,190.16,179.29
Rocket,ShakeGestureWiimoteZ,5.12,4.86
Rocket,ShapeletSim,2.67,22.35
Rocket,ShapesAll,76.7,75.28
Rocket,SmallKitchenAppliances,68.2,69.13
Rocket,SmoothSubspace,0.95,0.73
Rocket,SonyAIBORobotSurface1,0.61,10.56
Rocket,SonyAIBORobotSurface2,0.66,15.1
Rocket,StarLightCurves,289.42,1955.02
Rocket,Strawberry,36.44,22.48
Rocket,SwedishLeaf,16.57,19.51
Rocket,Symbols,2.94,102.55
Rocket,SyntheticControl,5.22,4.84
Rocket,ToeSegmentation1,2.98,15.86
Rocket,ToeSegmentation2,3.28,11.43
Rocket,Trace,7.37,7.28
Rocket,TwoLeadECG,1.27,33.17
Rocket,TwoPatterns,34.31,123.42
Rocket,UMD,1.56,5.4
Rocket,UWaveGestureLibraryAll,284.75,786.3
Rocket,UWaveGestureLibraryX,80.77,272.48
Rocket,UWaveGestureLibraryY,82.3,271.74
Rocket,UWaveGestureLibraryZ,79.38,270.35
Rocket,Wafer,41.39,223.84
Rocket,Wine,3.6,3.29
Rocket,WordSynonyms,18.33,41.82
Rocket,Worms,41.06,17.31
Rocket,WormsTwoClass,41.8,17.31
Rocket,Yoga,31.73,308.97
MiniRocket,ACSF1,4.79,4.18
MiniRocket,Adiac,1.81,1.32
MiniRocket,ArrowHead,0.45,1.15
MiniRocket,Beef,0.72,0.59
MiniRocket,BeetleFly,0.69,0.5
MiniRocket,BirdChicken,0.44,0.32
MiniRocket,BME,0.34,0.51
MiniRocket,Car,1.15,0.91
MiniRocket,CBF,0.33,2.58
MiniRocket,Chinatown,0.29,0.36
MiniRocket,ChlorineConcentration,2.49,18.93
MiniRocket,CinCECGTorso,2.03,49.27
MiniRocket,Coffee,0.59,0.47
MiniRocket,Computers,4.87,4.02
MiniRocket,CricketX,3.24,2.6
MiniRocket,CricketY,4.4,3.46
MiniRocket,CricketZ,3.16,2.78
MiniRocket,Crop,232.29,14.63
MiniRocket,DiatomSizeReduction,0.45,2.67
MiniRocket,DistalPhalanxOutlineAgeGroup,1.75,0.52
MiniRocket,DistalPhalanxOutlineCorrect,2.51,0.78
MiniRocket,DistalPhalanxTW,1.24,0.31
MiniRocket,Earthquakes,4.03,1.6
MiniRocket,ECG200,0.65,0.45
MiniRocket,ECG5000,3.01,13.19
MiniRocket,ECGFiveDays,0.25,2.58
MiniRocket,ElectricDevices,388.91,13.34
MiniRocket,EOGHorizontalSignal,10.49,10.8
MiniRocket,EOGVerticalSignal,11.81,10.07
MiniRocket,EthanolLevel,20.34,24.29
MiniRocket,FaceAll,2.13,4.05
MiniRocket,FaceFour,0.64,1.14
MiniRocket,FacesUCR,0.74,4.98
MiniRocket,FiftyWords,3.04,2.47
MiniRocket,Fish,2.4,1.94
MiniRocket,FordA,76.07,13.52
MiniRocket,FordB,69.48,7.53
MiniRocket,FreezerRegularTrain,1.07,16.9
MiniRocket,FreezerSmallTrain,0.5,17.82
MiniRocket,GunPoint,0.32,0.48
MiniRocket,GunPointAgeSpan,0.6,0.9
MiniRocket,GunPointMaleVersusFemale,1.0,0.95
MiniRocket,GunPointOldVersusYoung,0.63,1.02
MiniRocket,Ham,1.26,1.04
MiniRocket,HandOutlines,53.0,19.07
MiniRocket,Haptics,3.66,6.46
MiniRocket,Herring,0.81,0.67
MiniRocket,HouseTwenty,2.14,4.62
MiniRocket,InlineSkate,4.14,19.98
MiniRocket,InsectEPGRegularTrain,1.03,2.74
MiniRocket,InsectEPGSmallTrain,0.43,2.83
MiniRocket,InsectWingbeatSound,1.4,9.16
MiniRocket,ItalyPowerDemand,0.36,0.65
MiniRocket,LargeKitchenAppliances,5.32,4.95
MiniRocket,Lightning2,1.03,0.82
MiniRocket,Lightning7,0.68,0.5
MiniRocket,Mallat,1.37,47.7
MiniRocket,Meat,0.77,0.71
MiniRocket,MedicalImages,1.09,1.36
MiniRocket,MiddlePhalanxOutlineAgeGroup,1.02,0.3
MiniRocket,MiddlePhalanxOutlineCorrect,1.81,0.48
MiniRocket,MiddlePhalanxTW,1.03,0.4
MiniRocket,MixedShapesRegularTrain,10.81,47.84
MiniRocket,MixedShapesSmallTrain,2.37,49.71
MiniRocket,MoteStrain,0.21,2.17
MiniRocket,NonInvasiveFetalECGThorax1,34.47,28.38
MiniRocket,NonInvasiveFetalECGThorax2,33.39,30.48
MiniRocket,OliveOil,0.98,0.73
MiniRocket,OSULeaf,1.87,2.07
MiniRocket,PhalangesOutlinesCorrect,8.55,1.43
MiniRocket,Phoneme,4.98,36.86
MiniRocket,PickupGestureWiimoteZ,0.55,0.47
MiniRocket,PigAirwayPressure,4.61,7.99
MiniRocket,PigArtPressure,4.23,9.03
MiniRocket,PigCVP,4.37,7.67
MiniRocket,Plane,0.55,0.44
MiniRocket,PowerCons,0.7,0.53
MiniRocket,ProximalPhalanxOutlineAgeGroup,1.43,0.36
MiniRocket,ProximalPhalanxOutlineCorrect,1.6,0.48
MiniRocket,ProximalPhalanxTW,1.0,0.38
MiniRocket,RefrigerationDevices,5.21,4.79
MiniRocket,Rock,1.61,2.68
MiniRocket,ScreenType,5.22,4.78
MiniRocket,SemgHandGenderCh2,8.77,17.26
MiniRocket,SemgHandMovementCh2,13.32,12.63
MiniRocket,SemgHandSubjectCh2,12.9,12.1
MiniRocket,ShakeGestureWiimoteZ,0.57,0.43
MiniRocket,ShapeletSim,0.43,1.68
MiniRocket,ShapesAll,6.53,5.54
MiniRocket,SmallKitchenAppliances,5.61,5.04
MiniRocket,SmoothSubspace,0.3,0.15
MiniRocket,SonyAIBORobotSurface1,0.19,0.79
MiniRocket,SonyAIBORobotSurface2,0.2,1.08
MiniRocket,StarLightCurves,20.55,160.51
MiniRocket,Strawberry,3.32,1.58
MiniRocket,SwedishLeaf,1.79,1.5
MiniRocket,Symbols,0.39,6.92
MiniRocket,SyntheticControl,0.66,0.38
MiniRocket,ToeSegmentation1,0.39,1.17
MiniRocket,ToeSegmentation2,0.45,0.87
MiniRocket,Trace,0.7,0.56
MiniRocket,TwoLeadECG,0.21,1.68
MiniRocket,TwoPatterns,4.12,8.8
MiniRocket,UMD,0.27,0.45
MiniRocket,UWaveGestureLibraryAll,17.33,60.62
MiniRocket,UWaveGestureLibraryX,6.38,19.59
MiniRocket,UWaveGestureLibraryY,6.5,19.45
MiniRocket,UWaveGestureLibraryZ,6.34,19.5
MiniRocket,Wafer,4.85,16.65
MiniRocket,Wine,0.44,0.35
MiniRocket,WordSynonyms,1.73,3.32
MiniRocket,Worms,3.28,1.3
MiniRocket,WormsTwoClass,3.47,1.4
MiniRocket,Yoga,2.67,22.1
MrSQM_SFA_k5,ACSF1,52.77,28.86
MrSQM_SFA_k5,Adiac,110.83,10.18
MrSQM_SFA_k5,ArrowHead,4.98,6.06
MrSQM_SFA_k5,Beef,6.19,2.31
MrSQM_SFA_k5,BeetleFly,5.79,1.61
MrSQM_SFA_k5,BirdChicken,6.02,1.6
MrSQM_SFA_k5,BME,3.49,2.48
MrSQM_SFA_k5,Car,10.74,5.22
MrSQM_SFA_k5,CBF,2.92,14.24
MrSQM_SFA_k5,Chinatown,1.75,0.92
MrSQM_SFA_k5,ChlorineConcentration,44.42,85.85
MrSQM_SFA_k5,CinCECGTorso,21.32,426.15
MrSQM_SFA_k5,Coffee,4.37,1.14
MrSQM_SFA_k5,Computers,52.65,33.64
MrSQM_SFA_k5,CricketX,47.87,17.52
MrSQM_SFA_k5,CricketY,48.87,15.81
MrSQM_SFA_k5,CricketZ,46.23,16.07
MrSQM_SFA_k5,Crop,1739.1,81.76
MrSQM_SFA_k5,DiatomSizeReduction,3.69,16.41
MrSQM_SFA_k5,DistalPhalanxOutlineAgeGroup,16.34,1.46
MrSQM_SFA_k5,DistalPhalanxOutlineCorrect,22.58,2.81
